ACCNUM,INVTYPE,INVAGE,INJURY_ID,VEHTYPE,SPEEDING,REDLIGHT,ALCOHOL,YEAR,DATE,TIME,HOUR,STREET1,STREET2,ROAD_CLASS_ID,LOCCOORD,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,ACCLASS,IMPACTYPE,Longitude,Latitude,Month,Day_of_Week
1239488,Motorcycle Driver,20 to 24,4.0,Motorcycle,,,,2011,2011-04-22,1519,15,DANFORTH AVE,WOODMOUNT AVE,1.0,Mid-Block,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Sideswipe,-79.3146,43.6852,April,Friday
1239766,Vehicle Owner,unknown,,Other,,,,2011,2011-06-01,1935,19,THE ESPLANADE,BERKELEY Stre,2.0,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,SMV Other,-79.3635,43.6501,June,Wednesday
1239776,Driver,unknown,1.0,"Automobile, Station Wagon",,,,2011,2011-06-09,1600,16,YONGE ST,SHAFTESBURY AVE,1.0,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,-79.3915,43.6819,June,Thursday
1239980,Passenger,50 to 54,1.0,Other,,,,2011,2011-04-25,1515,15,REXDALE BLVD,BERGAMOT AVE,1.0,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,-79.5596,43.7133,April,Monday
1240092,Driver,70 to 74,4.0,"Automobile, Station Wagon",,Yes,,2011,2011-04-27,1050,10,LAWRENCE AVE E,CURLEW DR,1.0,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,-79.3192,43.7411,April,Wednesday
1240382,Vehicle Owner,unknown,,Other,,,,2011,2011-06-24,930,9,JAMESON Aven,SPRINGHURST Aven,3.0,Intersection,Stop Sign,Rain,Daylight,Wet,Non-Fatal Injury,Cyclist Collisions,-79.4347,43.6339,June,Friday
1240761,Driver,60 to 64,1.0,"Automobile, Station Wagon",,,,2011,2011-06-27,2225,22,KEELE St,GRANDRAVINE Dr,1.0,Mid-Block,No Control,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,-79.488,43.7515,June,Monday
1240985,Vehicle Owner,unknown,,Other,,,,2011,2011-05-07,2128,21,MOUNT ROYAL Aven,THOME Cres,4.0,Intersection,Stop Sign,Clear,Dark,Dry,Non-Fatal Injury,Cyclist Collisions,-79.433,43.6762,May,Saturday
1240994,Driver,25 to 29,1.0,"Automobile, Station Wagon",,,,2011,2011-05-07,1823,18,EGLINTON Ave W,MARLEE Ave,1.0,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,-79.4393,43.6979,May,Saturday
1241015,Driver,80 to 84,1.0,"Automobile, Station Wagon",,,,2011,2011-06-28,1530,15,GATEWAY Blvd,DON MILLS Rd,1.0,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,-79.3362,43.7143,June,Tuesday
1241028,Driver,60 to 64,1.0,"Automobile, Station Wagon",,,,2011,2011-05-06,536,5,ROGERS Road,WESTON Road,1.0,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,-79.4767,43.6815,May,Friday
1241202,Vehicle Owner,unknown,,Other,,,,2011,2011-06-28,959,9,STEELES AVE W,ISLINGTON AVE E,1.0,Mid-Block,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Approaching,-79.5813,43.7612,June,Tuesday
1241204,Driver,50 to 54,1.0,"Automobile, Station Wagon",,,,2011,2011-06-29,1135,11,STEELES AVE W,BATHURST ST,1.0,Intersection,No Control,Clear,Daylight,Dry,Fatal,Pedestrian Collisions,-79.4458,43.7923,June,Wednesday
1241592,Passenger,40 to 44,1.0,Other,,,,2011,2011-07-01,2229,22,WARDEN AVE,HUNTINGWOOD DR,1.0,Mid-Block,No Control,Clear,Dark,Dry,Fatal,Pedestrian Collisions,-79.3115,43.7869,July,Friday
1241593,Motorcycle Passenger,25 to 29,4.0,,Yes,,,2011,2011-07-01,2345,23,DON VALLEY PARKWAY  N,EASTERN AVE DIVERSION,,Mid-Block,No Control,Clear,Dark,Dry,Non-Fatal Injury,Rear End,-79.352,43.6563,July,Friday
1242543,Driver,15 to 19,1.0,"Automobile, Station Wagon",,,,2011,2011-05-20,1819,18,DAVENPORT RD,FOUNDRY  AVE,3.0,Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,-79.4493,43.6713,May,Friday
1242638,Driver,45 to 49,4.0,"Automobile, Station Wagon",Yes,,,2011,2011-05-18,934,9,WARDEN AVE,BRIDLETOWNE CRCL,1.0,Intersection,Traffic Signal,Rain,Daylight,Wet,Non-Fatal Injury,Rear End,-79.3186,43.8014,May,Wednesday
1242674,Vehicle Owner,unknown,,Other,,,,2011,2011-07-08,414,4,BLACK CREEK DR,LAWRENCE AVE W,1.0,Mid-Block,No Control,Clear,Dark,Dry,Fatal,SMV Other,-79.4973,43.7073,July,Friday
1242717,Motorcycle Driver,30 to 34,4.0,Motorcycle,,,,2011,2011-05-21,1159,11,FINCH  AVE E,PHARMACY  AVE,1.0,Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,-79.326,43.7943,May,Saturday
1242750,Driver,55 to 59,1.0,"Automobile, Station Wagon",,,,2011,2011-05-22,2004,20,ALDWYCH AVE,DEWHURST BLVD,4.0,Mid-Block,No Control,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,-79.3404,43.6847,May,Sunday
1242807,Driver,35 to 39,1.0,"Automobile, Station Wagon",,,,2011,2011-05-20,1738,17,MCCOWAN Road,BRIDLEY Driv,1.0,Mid-Block,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,-79.27,43.8136,May,Friday
1243108,Driver,25 to 29,1.0,"Automobile, Station Wagon",,,,2011,2011-05-24,1900,19,TRINNELL Boul,FLAGSTAFF Road,4.0,Mid-Block,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,-79.2742,43.7109,May,Tuesday
1243422,Driver,45 to 49,1.0,"Automobile, Station Wagon",Yes,,,2011,2011-07-12,700,7,F G GARDINER XY Expr E,KIPLING AVE,,Mid-Block,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,-79.5244,43.618,July,Tuesday
1244229,Pedestrian,20 to 24,4.0,Other,,,,2011,2011-07-15,2344,23,QUEEN Stre W,DUFFERIN,1.0,Mid-Block,Streetcar (Stop for),Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,-79.4291,43.642,July,Friday
1244328,Passenger,70 to 74,2.0,Other,,,,2011,2011-07-16,1215,12,LAWRENCE AVE W,ROYAL YORK RD,3.0,Intersection,Traffic Signal,Clear,Daylight,Dry,Fatal,SMV Other,-79.5326,43.6961,July,Saturday
1244462,Motorcycle Driver,30 to 34,4.0,Motorcycle,,,,2011,2011-07-17,2000,20,TWYN RIVERS Driv,LITTLE ROUGE RIVER,2.0,Mid-Block,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Approaching,-79.1569,43.8145,July,Sunday
1244509,Passenger,40 to 44,3.0,Other,,,,2011,2011-06-03,750,7,62 RACINE DR,,2.0,Mid-Block,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Approaching,-79.5805,43.717,June,Friday
1244530,Pedestrian,55 to 59,4.0,"Automobile, Station Wagon",Yes,,,2011,2011-07-18,28,0,BAYVIEW Ave,MCKEE Ave,1.0,Mid-Block,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Pedestrian Collisions,-79.3907,43.7788,July,Monday
1244535,Vehicle Owner,unknown,,Other,,,,2011,2011-06-04,1352,13,DUNFIELD AVE,EGLINTON AVE E,1.0,Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,-79.3953,43.7072,June,Saturday
1244686,Vehicle Owner,unknown,,Other,Yes,,,2011,2011-06-05,1330,13,YONGE ST,YORK MILLS RD,1.0,Mid-Block,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,-79.4069,43.7452,June,Sunday
1244722,Driver,35 to 39,1.0,"Automobile, Station Wagon",,,,2011,2011-06-05,1200,12,FLEET ST,FORT YORK BLVD,3.0,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,-79.4067,43.6363,June,Sunday
1244765,Motorcycle Driver,20 to 24,4.0,Motorcycle,,,,2011,2011-07-19,340,3,GARDINER X W SHERWAY GARDENS RAMP,427 C S QEW X W RAMP,,Mid-Block,No Control,Clear,Dark,Dry,Non-Fatal Injury,SMV Other,-79.551,43.613,July,Tuesday
1245113,Passenger,15 to 19,3.0,Other,,Yes,,2011,2011-06-08,2313,23,DUFFERIN ST,FINCH AVE W,1.0,Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Angle,-79.4668,43.7688,June,Wednesday
1245730,Vehicle Owner,unknown,,Other,,,,2011,2011-02-16,1432,14,2057 YONGE St,,1.0,Mid-Block,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,-79.3973,43.7021,February,Wednesday
1246125,Driver,60 to 64,4.0,"Automobile, Station Wagon",,,,2011,2011-07-27,1620,16,FINCH AVE E,PAGE AVE,1.0,Mid-Block,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Angle,-79.3801,43.7876,July,Wednesday
1246241,Driver,30 to 34,1.0,"Automobile, Station Wagon",,,,2011,2011-06-13,2020,20,CHURCH ST,ALEXANDER ST,3.0,Intersection,No Control,Clear,Dark,Dry,Non-Fatal Injury,Cyclist Collisions,-79.3799,43.6636,June,Monday
1246412,Passenger,15 to 19,4.0,Other,,,,2011,2011-05-14,1705,17,DIXON RD,ISLINGTON AVE,1.0,Intersection,Traffic Signal,Rain,Daylight,Wet,Non-Fatal Injury,Turning Movement,-79.5466,43.697,May,Saturday
1246736,Passenger,unknown,4.0,Other,,,,2011,2011-07-24,1349,13,LAWRENCE AVE E,OVERTURE RD,1.0,Intersection,Traffic Signal,Clear,Daylight,Dry,Fatal,Approaching,-79.1994,43.7654,July,Sunday
1246857,Vehicle Owner,unknown,,,,,,2011,2011-06-15,1405,14,DUPONT Stre,CAMPBELL Aven,1.0,Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Sideswipe,-79.45,43.6659,June,Wednesday
1246967,Vehicle Owner,unknown,,Other,,,,2011,2011-08-02,1236,12,LAKE SHORE BLVD W,EIGHTH ST,1.0,Intersection,No Control,Clear,Daylight,Dry,Fatal,Pedestrian Collisions,-79.5063,43.6004,August,Tuesday
1247048,Driver,45 to 49,1.0,"Automobile, Station Wagon",,,,2011,2011-08-02,1550,15,BATHURST Stre,FOLLIS Aven,1.0,Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,-79.4129,43.6695,August,Tuesday
1247270,Driver,25 to 29,4.0,"Automobile, Station Wagon",,,,2011,2011-06-21,145,1,YONGE Stre,HIGHWAY 401 C  E,1.0,Mid-Block,No Control,Clear,Dark,Dry,Non-Fatal Injury,SMV Other,-79.4085,43.7541,June,Tuesday
1247356,Driver,25 to 29,1.0,"Automobile, Station Wagon",,,,2011,2011-08-03,1322,13,DANFORTH AVE,BYRON AVE,1.0,Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,-79.3353,43.6808,August,Wednesday
1247398,Other Property Owner,unknown,,Other,Yes,,,2011,2011-08-04,205,2,LAKE SHORE BLVD W,LAKE CRES W,1.0,Mid-Block,No Control,Clear,Dark,Dry,Non-Fatal Injury,SMV Other,-79.4903,43.6076,August,Thursday
1247513,Motorcycle Driver,50 to 54,4.0,Motorcycle,,,,2011,2011-06-22,1707,17,QUEEN Stre E,MC GEE Stre,3.0,Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,-79.3454,43.6598,June,Wednesday
1247766,Vehicle Owner,unknown,,Other,,,,2011,2011-08-05,902,9,GREENWOOD AVE,PLAINS RD,2.0,Intersection,Stop Sign,Clear,Daylight,Dry,Fatal,Cyclist Collisions,-79.3384,43.6938,August,Friday
1247862,Motorcycle Driver,30 to 34,2.0,Motorcycle,Yes,,,2011,2011-08-07,1154,11,DIXON RD,GOLFWOOD HTS Heig,1.0,Intersection,Traffic Signal,Clear,Daylight,Dry,Fatal,Turning Movement,-79.5398,43.6985,August,Sunday
1247894,Driver,40 to 44,1.0,"Automobile, Station Wagon",,,,2011,2011-08-04,2301,23,YORK MILLS RD,DVP N YORK MILLS W RAMP,1.0,Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Cyclist Collisions,-79.334,43.7588,August,Thursday
1248427,Driver,40 to 44,1.0,"Automobile, Station Wagon",,,,2011,2011-06-26,1911,19,OVERLEA BLVD,THORNCLIFFE PARK DR,1.0,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,-79.3435,43.7074,June,Sunday
1248453,Passenger,10 to 14,4.0,Other,Yes,,,2011,2011-06-26,2208,22,FINCH AVE W,400 S FINCH E RAMP N,1.0,Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Rear End,-79.5327,43.754,June,Sunday
1248878,Vehicle Owner,unknown,,Other,Yes,,,2011,2011-08-12,1808,18,DUFFERIN Stre,STEEPROCK Driv,1.0,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,-79.4651,43.761,August,Friday
1248931,Driver,45 to 49,1.0,"Automobile, Station Wagon",,,,2011,2011-08-13,1800,18,28 REGATTA CRES,,4.0,Intersection,No Control,Clear,Daylight,Dry,Fatal,Pedestrian Collisions,-79.4438,43.7893,August,Saturday
1249034,Passenger,60 to 64,4.0,Other,,,,2011,2011-06-19,1256,12,SPADINA Road,DAVENPORT Road,3.0,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,SMV Other,-79.408,43.6774,June,Sunday
1249167,Vehicle Owner,unknown,,Other,,,,2011,2011-08-15,1825,18,THE QUEENSWAY,INVERLEIGH Dr,1.0,Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,-79.4958,43.6278,August,Monday
1249168,Passenger,50 to 54,4.0,Other,,,,2011,2011-08-15,2110,21,F G GARDINER XY Expr E,427 X S GARDINER X E RAMP,,Mid-Block,No Control,Clear,Dark,Dry,Non-Fatal Injury,Rear End,-79.5343,43.616,August,Monday
1249510,Driver,55 to 59,2.0,"Automobile, Station Wagon",,,,2011,2011-08-16,606,6,374 BROCK AVE,PUBLIC LANE,7.0,"Park, Private Property, Public Lane",No Control,Clear,Daylight,Dry,Fatal,SMV Other,-79.4373,43.6527,August,Tuesday
1249542,Driver,55 to 59,1.0,"Automobile, Station Wagon",,,,2011,2011-07-06,1850,18,DUNDAS ST W,CARLYLE ST,1.0,Intersection,Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,-79.4047,43.6521,July,Wednesday
1249781,Pedestrian,30 to 34,4.0,Other,,,,2011,2011-08-04,2318,23,QUEEN ST W,YORK ST,1.0,Mid-Block,No Control,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,-79.3834,43.6515,August,Thursday
1249794,Driver,45 to 49,1.0,"Automobile, Station Wagon",,,,2011,2011-07-23,2202,22,HIGHWAY 27  S,VICE REGENT BLVD,1.0,Intersection,No Control,Rain,"Dark, artificial",Wet,Non-Fatal Injury,Pedestrian Collisions,-79.5929,43.7113,July,Saturday
1249833,Vehicle Owner,unknown,,Other,,,,2011,2011-08-17,658,6,BATHURST ST,WILLIS ST,1.0,Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,-79.4041,43.6476,August,Wednesday
1249845,Vehicle Owner,unknown,,Other,,,,2011,2011-07-08,1600,16,6780 KINGSTON RD,,1.0,Mid-Block,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,-79.147,43.7983,July,Friday
1250055,Passenger,0 to 4,4.0,Other,,,,2011,2011-07-09,100,1,STEELES AVE E,STAINES RD,1.0,Mid-Block,No Control,Clear,Dark,Dry,Non-Fatal Injury,Approaching,-79.2376,43.8396,July,Saturday
1250312,Other Property Owner,unknown,,Other,,,,2011,2011-08-20,203,2,PORT UNION RD,ADENMORE RD,3.0,Mid-Block,No Control,Clear,Dark,Dry,Non-Fatal Injury,SMV Other,-79.1382,43.7833,August,Saturday
1250485,Vehicle Owner,unknown,,Other,,,,2011,2011-07-10,1805,18,LANSDOWNE AVE,DAVENPORT RD,2.0,Mid-Block,No Control,Clear,Daylight,Dry,Non-Fatal Injury,SMV Other,-79.449,43.6727,July,Sunday
1250553,Other Property Owner,unknown,,Other,,,,2011,2011-08-22,551,5,ROYAL YORK RD,HARTFIELD RD,3.0,Intersection,No Control,Clear,Dark,Dry,Fatal,SMV Other,-79.52,43.6671,August,Monday
1250588,Motorcycle Driver,20 to 24,4.0,Motorcycle,,,,2011,2011-07-07,1915,19,BLOOR ST W,CLISSOLD RD,1.0,Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,-79.5244,43.6444,July,Thursday
1250782,Driver,50 to 54,1.0,"Automobile, Station Wagon",,,,2011,2011-07-14,1610,16,AVENUE Road,EDMUND Aven,1.0,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,-79.3997,43.6825,July,Thursday
1250828,Driver,35 to 39,3.0,"Automobile, Station Wagon",Yes,,,2011,2011-07-16,847,8,SHEPPARD Aven E,MORNINGSIDE Aven,1.0,Mid-Block,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,-79.1982,43.8022,July,Saturday
1250852,Pedestrian,unknown,4.0,Other,,,,2011,2011-08-23,1905,19,WILLOWDALE AVE,PARKVIEW AVE,3.0,Intersection,Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,-79.4035,43.7731,August,Tuesday
1250894,Driver,45 to 49,1.0,"Automobile, Station Wagon",,,,2011,2011-07-15,1655,16,DANFORTH Ave,LANGFORD Ave,1.0,Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,-79.3405,43.6797,July,Friday
1250936,Driver,45 to 49,1.0,"Automobile, Station Wagon",,Yes,,2011,2011-07-12,714,7,SYMINGTON AVE,DUPONT ST,1.0,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Angle,-79.4511,43.6657,July,Tuesday
1250979,Driver,55 to 59,1.0,"Automobile, Station Wagon",,,,2011,2011-07-15,1630,16,DON MILLS RD,WYNFORD DR,1.0,Mid-Block,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,-79.3396,43.7234,July,Friday
1251014,Driver,unknown,1.0,"Automobile, Station Wagon",,,,2011,2011-08-06,1335,13,60 LACEY AVE,CAMERON Aven,4.0,Mid-Block,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,-79.4685,43.6898,August,Saturday
1251049,Motorcycle Driver,30 to 34,4.0,Motorcycle,,,,2011,2011-07-17,630,6,BREMNER Boul,VAN DE WATER Cres,3.0,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,-79.3889,43.6403,July,Sunday
1251239,Driver,15 to 19,4.0,"Automobile, Station Wagon",,Yes,,2011,2011-07-20,1323,13,SHEPPARD AVE E,ALLANFORD RD,1.0,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,-79.2934,43.7821,July,Wednesday
1251243,Driver,50 to 54,5.0,"Automobile, Station Wagon",,,,2011,2011-07-20,1023,10,3030 BIRCHMOUNT RD,,1.0,Mid-Block,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,-79.3084,43.8027,July,Wednesday
1251261,Passenger,45 to 49,4.0,Other,,,,2011,2011-07-20,1130,11,KEELE ST,YORE RD,1.0,Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,SMV Other,-79.4742,43.6919,July,Wednesday
1251421,Vehicle Owner,unknown,,Other,,,,2011,2011-08-09,2141,21,ST CLAIR AVE E,VICROSS RD,1.0,Intersection,No Control,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,-79.3018,43.7078,August,Tuesday
1251485,Driver,40 to 44,1.0,"Automobile, Station Wagon",,,,2011,2011-08-26,1924,19,F G GARDINER E Expr E,SPADINA Ave,,Mid-Block,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,-79.3979,43.6377,August,Friday
1251696,Passenger,55 to 59,3.0,Other,,,,2011,2011-07-20,1819,18,EGLINTON AVE E,DON AVON DR,1.0,Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,-79.3622,43.714,July,Wednesday
1251711,Driver,35 to 39,1.0,"Automobile, Station Wagon",,,,2011,2011-07-21,1645,16,NORTHERN DANCER BLVD,QUEEN ST E,3.0,Intersection,Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,-79.3113,43.6674,July,Thursday
1251858,Motorcycle Driver,25 to 29,4.0,Motorcycle,,,,2011,2011-08-29,1935,19,DON VALLEY PARKWAY  S,QUEEN St E,4.0,Mid-Block,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,-79.3532,43.6574,August,Monday
1252026,Motorcycle Driver,25 to 29,4.0,Motorcycle,,,,2011,2011-08-28,1600,16,WARDEN AVE,ST CLAIR AVE E,1.0,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,SMV Other,-79.2809,43.712,August,Sunday
1252206,Truck Driver,60 to 64,1.0,Truck - Open,,,,2011,2011-08-31,946,9,DUNDAS ST W,KEELE ST,1.0,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,-79.4645,43.6653,August,Wednesday
1252228,Driver,45 to 49,1.0,"Automobile, Station Wagon",Yes,,,2011,2011-08-30,1438,14,LAWRENCE AVE E,E OF DVP ON RAMP Aven,1.0,Mid-Block,No Control,Clear,Daylight,Dry,Fatal,Rear End,-79.3279,43.7402,August,Tuesday
1252312,Passenger,70 to 74,4.0,Other,,,,2011,2011-07-19,1925,19,PARKSIDE DR,ALGONQUIN AVE,1.0,Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,-79.4554,43.6431,July,Tuesday
1252379,Vehicle Owner,unknown,,Other,Yes,,,2011,2011-09-01,1540,15,MIDLAND AVE,BAYLAWN DR,1.0,Mid-Block,No Control,Clear,Daylight,Dry,Fatal,SMV Other,-79.2848,43.8005,September,Thursday
1252518,Driver,20 to 24,1.0,"Automobile, Station Wagon",,,,2011,2011-08-23,1905,19,WILLOWDALE AVE,PARKVIEW AVE,3.0,Intersection,Stop Sign,Clear,Dusk,Dry,Non-Fatal Injury,Pedestrian Collisions,-79.4035,43.7731,August,Tuesday
1252521,Vehicle Owner,unknown,,Other,,,,2011,2011-09-04,1000,10,BRIMLEY RD,DANJOHN CRES,1.0,Mid-Block,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,-79.2811,43.8142,September,Sunday
1253390,Vehicle Owner,unknown,,Other,,,,2011,2011-09-11,1556,15,DUNDAS ST E,BROADVIEW AVE,1.0,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,-79.3513,43.6624,September,Sunday
1253623,Vehicle Owner,unknown,,Other,Yes,,,2011,2011-09-12,1316,13,STEELES AVE W,STEINWAY BLVD,1.0,Mid-Block,No Control,Clear,Daylight,Dry,Fatal,Turning Movement,-79.6209,43.7539,September,Monday
1253635,Vehicle Owner,unknown,,Other,,,,2011,2011-07-20,1800,18,QUEENS QUAY W,REES ST,3.0,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,-79.3865,43.6388,July,Wednesday
1253770,Driver,50 to 54,1.0,"Automobile, Station Wagon",,,,2011,2011-09-13,1355,13,LUMSDEN AVE,OAK PARK AVE,3.0,Intersection,Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,-79.3103,43.6939,September,Tuesday
1253771,Driver,30 to 34,1.0,"Automobile, Station Wagon",,,,2011,2011-09-13,1958,19,LAKE SHORE BLVD W,bastion  st,1.0,Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Pedestrian Collisions,-79.4035,43.6359,September,Tuesday
1253834,Driver,unknown,1.0,"Automobile, Station Wagon",,,,2011,2011-08-16,1640,16,BLUE JAYS WAY,NAVY WHARF CRT,3.0,Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,-79.3918,43.6417,August,Tuesday
1254054,Driver,unknown,1.0,"Automobile, Station Wagon",,,,2011,2011-08-24,1840,18,4662 DUNDAS ST W,,1.0,Mid-Block,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Other,-79.5231,43.6548,August,Wednesday
1254156,Vehicle Owner,unknown,,,,,,2011,2011-09-15,1804,18,FINCH AVE E,SKYMARK DR,1.0,Intersection,Traffic Signal,Clear,"Dusk, artificial",Dry,Non-Fatal Injury,Rear End,-79.3522,43.793,September,Thursday
1254646,Pedestrian,50 to 54,4.0,Other,,,,2011,2011-07-27,955,9,FINCH AVE E,KENNETH AVE,1.0,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,-79.4122,43.7804,July,Wednesday
1254898,Driver,unknown,1.0,"Automobile, Station Wagon",,,,2011,2011-09-18,355,3,KIPLING Aven,THORNCREST Road,1.0,Intersection,Stop Sign,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,-79.5438,43.6613,September,Sunday
1254931,Cyclist,35 to 39,4.0,Bicycle,,,,2011,2011-07-28,1354,13,4277 LAWRENCE AVE E,,3.0,Mid-Block,No Control,Rain,Daylight,Wet,Non-Fatal Injury,Cyclist Collisions,-79.179,43.77,July,Thursday
1255068,Cyclist,45 to 49,4.0,Bicycle,,,,2011,2011-09-20,1723,17,ANTIBES DR,BATHURST ST,1.0,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,-79.4447,43.781,September,Tuesday
1255302,Vehicle Owner,unknown,,Other,,,,2011,2011-08-30,1930,19,LANSDOWNE Aven,RIDEAU Aven,3.0,Mid-Block,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Cyclist Collisions,-79.4384,43.6454,August,Tuesday
1255438,Driver,50 to 54,4.0,"Automobile, Station Wagon",,,,2011,2011-09-23,243,2,DIXON Rd,CARLINGVIEW Dr,1.0,Mid-Block,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,SMV Other,-79.5969,43.6866,September,Friday
1255565,Passenger,0 to 4,1.0,Other,,,,2011,2011-09-23,1912,19,MARTIN GROVE Road,DIXON Road,1.0,Intersection,Traffic Signal,Rain,Dark,Wet,Fatal,Pedestrian Collisions,-79.5707,43.6915,September,Friday
1255770,Driver,50 to 54,1.0,"Automobile, Station Wagon",,,,2011,2011-09-25,1958,19,LAWRENCE Ave E,VALPARAISO Ave,1.0,Intersection,No Control,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,-79.2467,43.7552,September,Sunday
1255918,Driver,35 to 39,1.0,"Automobile, Station Wagon",,,,2011,2011-09-22,1617,16,O CONNOR Driv,DOHME Aven,1.0,Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,-79.3089,43.7105,September,Thursday
